province,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x
Anhui,0.041362154,0.039702185,0.038264573,0.036533838,0.035471965,0.034934277,0.035491288,0.03548345,0.037323929,0.039213062,0.042171742,0.044317617,0.044108665,0.045969625,0.045909777,0.04544402,0.045036618,0.044096553,0.042397111,0.042414586,0.047239038,0.047770903,0.045743274,0.043599748
Beijing,0.033423494,0.032371604,0.030925358,0.030005195,0.029188926,0.029360337,0.029588517,0.034039692,0.039575,0.0455099,0.048248893,0.049504438,0.049504438,0.049161891,0.04881962,0.048362983,0.049047801,0.049275981,0.048191848,0.04705067,0.048134803,0.047507031,0.04408322,0.039118363
Chongqing,0.042693014,0.039944238,0.037442338,0.035566004,0.034433029,0.033690787,0.033170231,0.033413925,0.035702958,0.040959894,0.043934028,0.045608098,0.044751906,0.045228309,0.046240952,0.047116043,0.047810897,0.047678309,0.04570323,0.043449054,0.043740415,0.045609059,0.04422026,0.041893021
East_Inner_Mongolia,0.037673646,0.036603843,0.03660395,0.036157677,0.036367689,0.036913424,0.041466419,0.042897631,0.04171664,0.042315074,0.043151233,0.045277171,0.043788229,0.042070716,0.042160115,0.042657704,0.04314162,0.045156443,0.046427535,0.04515389,0.044922537,0.044196905,0.043086412,0.040093494
Fujian,0.039630067,0.039258751,0.037569855,0.036764249,0.035952169,0.034890605,0.03572972,0.035736746,0.037469505,0.041139337,0.044063681,0.046403091,0.044777457,0.044281207,0.045434459,0.045162871,0.045504983,0.045640448,0.044481844,0.043684236,0.043966206,0.044403681,0.044666054,0.043388779
Gansu,0.040160434,0.038402587,0.038483676,0.038559694,0.038179274,0.037877251,0.038760676,0.04129492,0.041596758,0.041792564,0.042408309,0.042919957,0.044212493,0.042787309,0.042269579,0.042129448,0.042501342,0.043913174,0.045266984,0.044489925,0.043459149,0.044127941,0.042493859,0.041912698
Guangdong,0.039513161,0.038016364,0.036328505,0.035366326,0.034402862,0.033330393,0.032638592,0.033409704,0.037874702,0.044271125,0.045934195,0.047754371,0.044136529,0.044024728,0.04717385,0.048148027,0.048021821,0.047588857,0.043655045,0.043807927,0.044244192,0.044194256,0.043483894,0.042680574
Guangxi,0.038511912,0.036319112,0.035458795,0.033776241,0.032804545,0.03223849,0.032888478,0.035612646,0.037211217,0.0416102,0.044370822,0.046180262,0.045141749,0.044378604,0.045784153,0.047190569,0.047129832,0.047764372,0.046042115,0.044375126,0.046546561,0.047118708,0.047172396,0.044373094
Guizhou,0.035672535,0.033495128,0.031986991,0.031474425,0.031308835,0.031486057,0.03234635,0.036754731,0.041463231,0.046558068,0.048145045,0.049993551,0.047668953,0.044386731,0.044254534,0.044931075,0.044248655,0.047121063,0.04829133,0.047127953,0.048502297,0.0471521,0.044826746,0.040803617
Hainan,0.044811035,0.042523512,0.040221407,0.038555558,0.037112149,0.03661548,0.036995257,0.037895265,0.039287595,0.042908587,0.045841644,0.045345439,0.042761021,0.041343499,0.041047572,0.040902469,0.041600805,0.044006941,0.043697502,0.043545663,0.045718767,0.044693545,0.042803658,0.039765626
Hebei,0.038916969,0.038884066,0.038213383,0.037878286,0.037968584,0.037274069,0.039305186,0.039721067,0.040084259,0.041961576,0.043121274,0.044122003,0.043444348,0.042058373,0.042817353,0.04347301,0.043284754,0.044910287,0.044866585,0.043685244,0.044560047,0.044429106,0.043423067,0.041597103
Heilongjiang,0.034818086,0.033671563,0.033151132,0.032895639,0.033415268,0.036798416,0.041826637,0.043345822,0.04338948,0.044498902,0.045696347,0.048461974,0.044728544,0.043099531,0.043868379,0.043873351,0.046413174,0.04897005,0.046302408,0.045276234,0.045920829,0.043233848,0.039765463,0.036578922
Henan,0.040679488,0.040699791,0.039049366,0.037589876,0.036553271,0.035801956,0.036230928,0.037394819,0.037771449,0.039036649,0.041394192,0.043449376,0.045590932,0.046344448,0.046260196,0.045696529,0.045259072,0.044100442,0.043754496,0.042461388,0.043547832,0.044821724,0.044396328,0.042115451
Hong_Kong,0.032342529,0.031324659,0.029925186,0.029034783,0.028244913,0.02841078,0.028631581,0.032938798,0.038295087,0.044038043,0.046688453,0.047903392,0.047903392,0.047571924,0.047240722,0.046798854,0.047461523,0.047682324,0.046633253,0.045528982,0.046578053,0.045970584,0.042657504,0.037853218
Hubei,0.041131002,0.040103692,0.039602264,0.03797685,0.037106492,0.036197935,0.035823992,0.03596079,0.037292002,0.040643326,0.042058231,0.043627776,0.043890818,0.045670245,0.046584206,0.046588485,0.045901673,0.045345764,0.042266043,0.040491415,0.043022616,0.045443153,0.044774387,0.042496842
Hunan,0.044534774,0.03896126,0.036898145,0.035574174,0.034152595,0.033129545,0.033133607,0.034552891,0.036615769,0.039992726,0.043145788,0.045883009,0.04577879,0.04643452,0.046437367,0.045349355,0.044806691,0.045611226,0.043533835,0.042353104,0.046023001,0.047335111,0.045832373,0.043930346
Jiangsu,0.038744285,0.037908362,0.03677642,0.036223549,0.035632517,0.035480811,0.036221733,0.036493697,0.039086415,0.042666123,0.04528628,0.045826471,0.045220433,0.046294947,0.046491786,0.04635026,0.046084588,0.04504207,0.042410997,0.042331671,0.044637202,0.044707687,0.043012736,0.041068958
Jiangxi,0.040126645,0.040353072,0.038272866,0.036881477,0.036111715,0.035058622,0.035139129,0.034867395,0.036149796,0.040924129,0.043380192,0.045694285,0.043348649,0.043866377,0.044842693,0.044929248,0.045076686,0.045070599,0.043728612,0.042942745,0.045301944,0.047465245,0.046732147,0.043735732
Jilin,0.035080693,0.033903968,0.033277128,0.032621838,0.033110596,0.034945184,0.039563777,0.041355552,0.042318096,0.045208799,0.0467962,0.047637557,0.04474607,0.044969218,0.045460814,0.045844464,0.046915683,0.047404084,0.045797444,0.045192947,0.045645468,0.04354192,0.041059512,0.037602988
Liaoning,0.040596756,0.039440781,0.038200109,0.037648431,0.037660434,0.038056782,0.04025048,0.040912992,0.040639641,0.042734886,0.044241981,0.043986123,0.042620458,0.043060178,0.043894892,0.043592269,0.044004653,0.043086815,0.042099076,0.04198465,0.043083831,0.04253218,0.043873681,0.041797922
Ningxia,0.041569899,0.040838374,0.040708748,0.040369003,0.040081627,0.040435803,0.040594543,0.040753896,0.040269522,0.040690633,0.040571105,0.040685703,0.040758587,0.041116828,0.041120371,0.041418095,0.041428125,0.043503312,0.044027743,0.044028691,0.04421284,0.044462697,0.043695577,0.042658277
Qinghai,0.041587304,0.041233139,0.04114133,0.040910268,0.040936133,0.041292406,0.041358897,0.042285233,0.041810217,0.041830686,0.040701246,0.041170841,0.041262613,0.042144184,0.04224999,0.042854729,0.04251637,0.041553449,0.041439052,0.042147268,0.042158239,0.042588984,0.041459089,0.041368334
Shaanxi,0.040175882,0.037858591,0.036434982,0.035046813,0.033723932,0.033253664,0.033090942,0.035025829,0.036415055,0.039749596,0.042511564,0.045064667,0.046344941,0.04725539,0.04700063,0.046999924,0.046867768,0.046743093,0.045706471,0.043875974,0.045511978,0.046954783,0.045862879,0.04252465
Shandong,0.040892532,0.039743023,0.039047351,0.037626764,0.037357838,0.037361165,0.038162203,0.039059743,0.040787969,0.042445193,0.044158459,0.044952768,0.044673936,0.044535911,0.045048049,0.045359323,0.044890526,0.044521984,0.043049111,0.041934827,0.042120733,0.041398825,0.041014409,0.039857358
Shanghai,0.036324123,0.034818252,0.033507392,0.032319349,0.031628431,0.031908145,0.032253164,0.034630595,0.03960866,0.045276751,0.04779401,0.048604727,0.048712147,0.049127059,0.049096659,0.048112975,0.048107019,0.04689396,0.044583124,0.044475474,0.044481858,0.044329467,0.043501828,0.039904832
Shanxi,0.039487739,0.039251222,0.038069242,0.037849645,0.037419392,0.037483758,0.038298541,0.040197703,0.039680772,0.040432797,0.041625938,0.043119823,0.044694679,0.043511514,0.042916834,0.043370965,0.04340283,0.044684056,0.044688921,0.044451468,0.045357494,0.044453254,0.04364037,0.041911041
Sichuan,0.038802362,0.035989753,0.034735427,0.033244648,0.032273056,0.03251431,0.03243737,0.032396152,0.033469787,0.039165951,0.042819111,0.046389195,0.047673381,0.048400918,0.049140479,0.049392343,0.048647418,0.048150924,0.046411424,0.044656443,0.044350384,0.047870671,0.046986074,0.04408242
Taiwan,0.032342529,0.031324659,0.029925186,0.029034783,0.028244913,0.02841078,0.028631581,0.032938798,0.038295087,0.044038043,0.046688453,0.047903392,0.047903392,0.047571924,0.047240722,0.046798854,0.047461523,0.047682324,0.046633253,0.045528982,0.046578053,0.045970584,0.042657504,0.037853218
Tianjin,0.03479903,0.034359689,0.033579901,0.033386387,0.033112225,0.034311668,0.036510957,0.040051346,0.044893125,0.046813632,0.04810175,0.046290382,0.04681403,0.047546277,0.048005809,0.047917866,0.047543528,0.046113212,0.044079035,0.044554918,0.043656713,0.041520894,0.039332816,0.03670481
Tibet,0.039019053,0.036000975,0.035097664,0.033590129,0.033084164,0.031821311,0.032958579,0.035354112,0.040153739,0.044087406,0.046721477,0.048214798,0.046595377,0.044094969,0.042441758,0.042544178,0.043351415,0.045187441,0.045206393,0.044561737,0.045158456,0.0502892,0.049546381,0.04767611
West_Inner_Mongolia,0.040772507,0.040019472,0.03983369,0.03959134,0.0395149,0.040054352,0.040558644,0.041070297,0.040889953,0.041224003,0.042145759,0.042337237,0.042499261,0.041925385,0.041966166,0.042144948,0.042508858,0.043219393,0.043457899,0.043457899,0.043457899,0.043218569,0.042733782,0.04139779
Xinjiang,0.041532471,0.040909664,0.040076822,0.039554325,0.039323563,0.039195565,0.039299546,0.039531488,0.04027866,0.041081448,0.041408424,0.042420683,0.042769426,0.042877508,0.042639095,0.042193691,0.042425642,0.042697085,0.042872236,0.043318855,0.043295391,0.043095131,0.043545402,0.043657879
Yunnan,0.037121521,0.035638646,0.034634658,0.034383927,0.033884249,0.033894064,0.034383127,0.037044447,0.040640158,0.044921182,0.04710476,0.048352588,0.046264959,0.042698283,0.042378051,0.04315796,0.044154238,0.047007919,0.048458426,0.046193568,0.045914633,0.046057047,0.044423084,0.041288505
Zhejiang,0.03769701,0.036190686,0.034919093,0.033538345,0.032894894,0.032656925,0.033469446,0.035663074,0.041516796,0.045712484,0.04779367,0.04722507,0.044974923,0.047846631,0.049006674,0.04875511,0.048503487,0.046473683,0.042343163,0.041970252,0.043072051,0.043314682,0.04297303,0.041488821