province_start,province_end,transmission_line_id,existing_transfer_capacity_mw,transmission_length_km,transmission_efficiency,new_transmission_builds_allowed,dc_line
Anhui,Hebei,172,4000,732.6780334,0.954473498,1,0
Anhui,Henan,1,7500,465.8190285,0.971055347,1,0
Anhui,Hubei,2,7500,318.2122406,0.980227208,1,0
Anhui,Jiangsu,3,12500,142.7198909,0.991131797,1,0
Anhui,Jiangxi,4,7500,378.2226785,0.976498332,1,0
Anhui,Shandong,5,7500,534.7364824,0.966773015,1,0
Anhui,Zhejiang,6,7500,327.0532209,0.979677855,1,0
Beijing,East_Inner_Mongolia,179,5000,856.2810155,0.946793164,1,0
Beijing,Hebei,7,11500,265.2199526,0.983519996,1,0
Beijing,Tianjin,8,12500,112.8813082,0.992985881,1,0
Chongqing,Guizhou,9,7500,332.0922137,0.979364747,1,0
Chongqing,Hebei,10,4000,1196.48829,0.925653664,1,0
Chongqing,Hubei,11,7500,757.0770073,0.952957416,1,0
Chongqing,Hunan,12,7500,647.774773,0.959749142,1,0
Chongqing,Shaanxi,13,7500,571.3647054,0.964497043,1,0
Chongqing,Sichuan,14,7500,263.8307426,0.983606318,1,0
East_Inner_Mongolia,Beijing,15,5000,856.2810155,0.946793164,1,0
East_Inner_Mongolia,Hebei,16,11500,1111.44554,0.930937976,1,1
East_Inner_Mongolia,Heilongjiang,17,7500,504.8760783,0.968628455,1,0
East_Inner_Mongolia,Jiangsu,18,7200,1675.777147,0.895872036,1,1
East_Inner_Mongolia,Jilin,19,7500,524.2459734,0.967424865,1,0
East_Inner_Mongolia,Liaoning,20,11500,634.8267153,0.960553697,1,1
East_Inner_Mongolia,Shandong,21,14400,1189.062534,0.92611508,1,1
East_Inner_Mongolia,Tianjin,22,4000,918.6845125,0.942915591,1,1
East_Inner_Mongolia,West_Inner_Mongolia,23,7500,981.6761886,0.93900147,1,0
Fujian,Guangdong,24,7500,693.2384286,0.956924161,1,0
Fujian,Jiangxi,25,7500,442.6535527,0.972494783,1,0
Fujian,Zhejiang,26,7500,473.2071071,0.970596274,1,0
Gansu,Jiangsu,27,7200,1452.509428,0.909745249,1,1
Gansu,Ningxia,28,7500,347.8442882,0.978385958,1,0
Gansu,Qinghai,29,7500,185.809818,0.988454313,1,0
Gansu,Shaanxi,30,7500,513.4140306,0.968097931,1,0
Gansu,Sichuan,31,7500,602.0171439,0.962592389,1,0
Gansu,West_Inner_Mongolia,32,7500,867.8542348,0.946074038,1,0
Gansu,Xinjiang,33,7500,1618.112566,0.899455147,1,0
Guangdong,Fujian,34,7500,693.2384286,0.956924161,1,0
Guangdong,Guangxi,35,7500,507.92942,0.968438729,1,0
Guangdong,Hunan,37,7500,565.7801929,0.964844049,1,0
Guangdong,Jiangxi,38,7500,671.8521889,0.95825304,1,0
Guangdong,Sichuan,175,6400,1236.777544,0.923150206,1,1
Guangdong,Yunnan,177,5000,1092.54361,0.932112487,1,1
Guangxi,Guangdong,39,7500,507.92942,0.968438729,1,0
Guangxi,Guizhou,40,7500,449.3221992,0.972080413,1,0
Guangxi,Hunan,41,7500,760.9865434,0.952714488,1,0
Guangxi,Yunnan,42,7500,621.7638715,0.961365384,1,0
Guizhou,Chongqing,43,7500,332.0922137,0.979364747,1,0
Guizhou,Guangxi,44,7500,449.3221992,0.972080413,1,0
Guizhou,Hunan,45,7500,644.7322371,0.959938196,1,0
Guizhou,Jiangsu,46,7200,1316.978739,0.918166735,1,1
Guizhou,Sichuan,47,7500,521.6044921,0.967588999,1,0
Guizhou,Yunnan,48,7500,435.7787242,0.972921965,1,0
Hebei,Anhui,49,4000,732.6780334,0.954473498,1,0
Hebei,Beijing,50,11500,265.2199526,0.983519996,1,0
Hebei,Chongqing,181,4000,1196.48829,0.925653664,1,0
Hebei,East_Inner_Mongolia,51,7500,1111.44554,0.930937976,1,0
Hebei,Henan,52,11500,373.2586301,0.976806784,1,0
Hebei,Liaoning,53,7500,867.0539114,0.946123768,1,0
Hebei,Shandong,54,7500,270.0319129,0.983220995,1,0
Hebei,Shanxi,55,7500,169.4744038,0.989469349,1,0
Hebei,Tianjin,56,7500,264.9632733,0.983535945,1,0
Hebei,West_Inner_Mongolia,57,7500,392.6267178,0.975603307,1,0
Heilongjiang,East_Inner_Mongolia,58,7500,504.8760783,0.968628455,1,0
Heilongjiang,Jilin,59,7500,230.7270874,0.985663283,1,0
Henan,Anhui,60,7500,465.8190285,0.971055347,1,0
Henan,Hebei,61,7500,373.2586301,0.976806784,1,0
Henan,Hubei,62,11500,469.7094348,0.970813609,1,0
Henan,Shaanxi,63,7500,434.2129296,0.973019259,1,0
Henan,Shandong,64,7500,369.9486997,0.977012454,1,0
Henan,Shanxi,65,7500,359.5453254,0.977658889,1,0
Henan,Xinjiang,182,14400,2443.060345,0.848195268,1,1
Hubei,Anhui,67,7500,318.2122406,0.980227208,1,0
Hubei,Chongqing,68,7500,757.0770073,0.952957416,1,0
Hubei,Henan,69,7500,469.7094348,0.970813609,1,0
Hubei,Hunan,70,7500,292.1940134,0.981843906,1,0
Hubei,Jiangxi,71,7500,261.5189661,0.983749965,1,0
Hubei,Shaanxi,72,7500,648.0978972,0.959729064,1,0
Hunan,Chongqing,73,7500,647.774773,0.959749142,1,0
Hunan,Guangdong,74,7500,565.7801929,0.964844049,1,0
Hunan,Guangxi,75,7500,760.9865434,0.952714488,1,0
Hunan,Guizhou,76,7500,644.7322371,0.959938196,1,0
Hunan,Hubei,77,7500,292.1940134,0.981843906,1,0
Hunan,Jiangxi,78,7500,290.2185417,0.981966656,1,0
Hunan,Shanxi,169,5000,1075.970135,0.933142315,1,0
Hunan,Sichuan,186,8000,903.9261465,0.943832633,1,1
Jiangsu,Anhui,79,7500,142.7198909,0.991131797,1,0
Jiangsu,East_Inner_Mongolia,167,7200,1675.777147,0.895872036,1,1
Jiangsu,Gansu,176,7200,1452.509428,0.909745249,1,1
Jiangsu,Guizhou,173,7200,1316.978739,0.918166735,1,1
Jiangsu,Shaanxi,178,4000,946.6245306,0.941179479,1,1
Jiangsu,Shandong,80,7500,538.6349507,0.966530776,1,0
Jiangsu,Shanghai,81,12500,270.6537709,0.983182354,1,0
Jiangsu,Shanxi,185,5000,859.1410375,0.946615451,1,0
Jiangsu,Zhejiang,82,7500,238.0104033,0.985210719,1,0
Jiangxi,Anhui,83,7500,378.2226785,0.976498332,1,0
Jiangxi,Fujian,84,7500,442.6535527,0.972494783,1,0
Jiangxi,Guangdong,85,7500,671.8521889,0.95825304,1,0
Jiangxi,Hubei,86,7500,261.5189661,0.983749965,1,0
Jiangxi,Hunan,87,7500,290.2185417,0.981966656,1,0
Jiangxi,West_Inner_Mongolia,166,7200,1404.340237,0.912738343,1,1
Jiangxi,Zhejiang,88,7500,448.5940135,0.97212566,1,0
Jilin,East_Inner_Mongolia,89,7500,524.2459734,0.967424865,1,0
Jilin,Heilongjiang,90,7500,230.7270874,0.985663283,1,0
Jilin,Liaoning,91,7500,279.9925167,0.982602072,1,0
Liaoning,East_Inner_Mongolia,92,7500,634.8267153,0.960553697,1,0
Liaoning,Hebei,93,7500,867.0539114,0.946123768,1,0
Liaoning,Jilin,94,7500,279.9925167,0.982602072,1,0
Ningxia,Gansu,95,7500,347.8442882,0.978385958,1,0
Ningxia,Shaanxi,96,7500,525.5026511,0.967346779,1,0
Ningxia,Shandong,97,4000,966.386539,0.939951524,1,1
Ningxia,West_Inner_Mongolia,98,7500,530.4620781,0.967038615,1,0
Ningxia,Zhejiang,99,7200,1564.378007,0.902794057,1,1
Qinghai,Gansu,100,7500,185.809818,0.988454313,1,0
Qinghai,Sichuan,101,7500,694.6303196,0.956837673,1,0
Qinghai,Tibet,102,1200,1256.325545,0.92193555,0,0
Qinghai,Xinjiang,103,7500,1441.957734,0.9104009,1,0
Shaanxi,Chongqing,104,7500,571.3647054,0.964497043,1,0
Shaanxi,Gansu,105,7500,513.4140306,0.968097931,1,0
Shaanxi,Henan,106,7500,434.2129296,0.973019259,1,0
Shaanxi,Hubei,107,7500,648.0978972,0.959729064,1,0
Shaanxi,Jiangsu,108,4000,946.6245306,0.941179479,1,1
Shaanxi,Ningxia,109,7500,525.5026511,0.967346779,1,0
Shaanxi,Shanxi,110,7500,516.5925955,0.967900424,1,0
Shaanxi,Sichuan,111,6000,607.1590003,0.962272889,1,0
Shaanxi,West_Inner_Mongolia,112,7500,767.4990415,0.952309821,1,0
Shandong,Anhui,113,7500,534.7364824,0.966773015,1,0
Shandong,East_Inner_Mongolia,183,14400,1189.062534,0.92611508,1,1
Shandong,Hebei,114,7500,270.0319129,0.983220995,1,0
Shandong,Henan,115,7500,369.9486997,0.977012454,1,0
Shandong,Jiangsu,116,12500,538.6349507,0.966530776,1,0
Shandong,Ningxia,171,4000,966.386539,0.939951524,1,1
Shandong,Shanxi,170,4000,414.7095262,0.974231145,1,0
Shandong,Tianjin,180,5000,274.5392924,0.982940919,1,0
Shandong,Xinjiang,168,7200,2602.641169,0.838279375,1,1
Shanghai,Jiangsu,117,7500,270.6537709,0.983182354,1,0
Shanghai,Zhejiang,118,12500,165.3975928,0.98972267,1,0
Shanxi,Hebei,119,7500,169.4744038,0.989469349,1,0
Shanxi,Henan,120,7500,359.5453254,0.977658889,1,0
Shanxi,Hunan,121,5000,1075.970135,0.933142315,1,0
Shanxi,Jiangsu,122,5000,859.1410375,0.946615451,1,0
Shanxi,Shaanxi,123,7500,516.5925955,0.967900424,1,0
Shanxi,Shandong,124,4000,414.7095262,0.974231145,1,0
Shanxi,West_Inner_Mongolia,125,7500,337.1267222,0.979051917,1,0
Sichuan,Chongqing,126,11500,263.8307426,0.983606318,1,0
Sichuan,Gansu,127,7500,602.0171439,0.962592389,1,0
Sichuan,Guangdong,128,6400,1236.777544,0.923150206,1,1
Sichuan,Guizhou,129,7500,521.6044921,0.967588999,1,0
Sichuan,Hunan,130,8000,903.9261465,0.943832633,1,1
Sichuan,Qinghai,131,7500,694.6303196,0.956837673,1,0
Sichuan,Shaanxi,132,6000,607.1590003,0.962272889,1,0
Sichuan,Tibet,133,7500,1249.310391,0.922371451,0,0
Sichuan,Yunnan,134,7500,639.0916278,0.960288687,1,0
Tianjin,Beijing,135,7500,112.8813082,0.992985881,1,0
Tianjin,East_Inner_Mongolia,174,4000,918.6845125,0.942915591,1,1
Tianjin,Hebei,136,7500,264.9632733,0.983535945,1,0
Tianjin,Shandong,137,5000,274.5392924,0.982940919,1,0
Tibet,Qinghai,138,2700,1256.325545,0.92193555,0,1
Tibet,Sichuan,139,7500,1249.310391,0.922371451,0,0
Tibet,Xinjiang,140,7500,1602.2478,0.900440937,0,0
Tibet,Yunnan,141,7500,1251.930411,0.922208651,0,0
West_Inner_Mongolia,East_Inner_Mongolia,142,7500,981.6761886,0.93900147,1,0
West_Inner_Mongolia,Gansu,143,7500,867.8542348,0.946074038,1,0
West_Inner_Mongolia,Hebei,144,7500,392.6267178,0.975603307,1,0
West_Inner_Mongolia,Jiangxi,145,7200,1404.340237,0.912738343,1,1
West_Inner_Mongolia,Ningxia,146,7500,530.4620781,0.967038615,1,0
West_Inner_Mongolia,Shaanxi,147,7500,767.4990415,0.952309821,1,0
West_Inner_Mongolia,Shanxi,148,16500,337.1267222,0.979051917,1,0
Xinjiang,Gansu,149,7500,1618.112566,0.899455147,1,0
Xinjiang,Henan,150,14400,2443.060345,0.848195268,1,1
Xinjiang,Qinghai,151,7500,1441.957734,0.9104009,1,0
Xinjiang,Shandong,152,7200,2602.641169,0.838279375,1,1
Xinjiang,Tibet,153,7500,1602.2478,0.900440937,0,0
Yunnan,Guangdong,154,5000,1092.54361,0.932112487,1,1
Yunnan,Guangxi,155,7500,621.7638715,0.961365384,1,0
Yunnan,Guizhou,156,7500,435.7787242,0.972921965,1,0
Yunnan,Sichuan,157,7500,639.0916278,0.960288687,1,0
Yunnan,Tibet,158,7500,1251.930411,0.922208651,0,0
Yunnan,Zhejiang,159,7200,1812.169396,0.887397014,1,1
Zhejiang,Anhui,160,7500,327.0532209,0.979677855,1,0
Zhejiang,Fujian,161,7500,473.2071071,0.970596274,1,0
Zhejiang,Jiangsu,162,7500,238.0104033,0.985210719,1,0
Zhejiang,Jiangxi,163,7500,448.5940135,0.97212566,1,0
Zhejiang,Ningxia,165,7200,1564.378007,0.902794057,1,1
Zhejiang,Shanghai,164,7500,165.3975928,0.98972267,1,0
Zhejiang,Yunnan,184,7200,1812.169396,0.887397014,1,1