LOAD_ZONE,PERIOD,zone_expected_coincident_peak_demand
Anhui,2023,33596.5617771565
Anhui,2028,36731.0822463877
Anhui,2033,40793.1981800956
Anhui,2038,45304.5463402921
Anhui,2043,49288.6077142331
Anhui,2048,53623.0256486858
Beijing,2023,20975.5383710667
Beijing,2028,22154.8541062124
Beijing,2033,24604.9748314919
Beijing,2038,27326.0561119465
Beijing,2043,29729.097163059
Beijing,2048,32343.4605604945
Chongqing,2023,24499.0565838062
Chongqing,2028,28956.8992143432
Chongqing,2033,32159.2628392517
Chongqing,2038,35715.7780848234
Chongqing,2043,38856.6075026746
Chongqing,2048,42273.6400430956
East_Inner_Mongolia,2023,13734.3495248503
East_Inner_Mongolia,2028,16077.0581280079
East_Inner_Mongolia,2033,17855.0311686838
East_Inner_Mongolia,2038,19829.6314845864
East_Inner_Mongolia,2043,21573.44033467
East_Inner_Mongolia,2048,23470.5989486155
Fujian,2023,41825.2451426207
Fujian,2028,46861.5515496967
Fujian,2033,52044.0031298436
Fujian,2038,57799.5856348614
Fujian,2043,62882.4551294146
Fujian,2048,68412.3098750712
Gansu,2023,23144.3383186752
Gansu,2028,28294.2649938112
Gansu,2033,31423.3474393799
Gansu,2038,34898.4772890183
Gansu,2043,37967.4336434687
Gansu,2048,41306.2726357065
Guangdong,2023,119471.274742366
Guangdong,2028,128704.493203626
Guangdong,2033,142938.012626639
Guangdong,2038,158745.62686268
Guangdong,2043,172705.645698652
Guangdong,2048,187893.302295439
Guangxi,2023,31906.4934012389
Guangxi,2028,36988.3706018802
Guangxi,2033,41078.9402337774
Guangxi,2038,45621.8888064367
Guangxi,2043,49633.8571337369
Guangxi,2048,53998.6361464419
Guizhou,2023,33323.317030864
Guizhou,2028,39577.6472962865
Guizhou,2033,43954.5668387736
Guizhou,2038,48815.532957804
Guizhou,2043,53108.3489115213
Guizhou,2048,57778.6731642552
Hainan,2023,5875.42407365208
Hainan,2028,6877.61252820094
Hainan,2033,7638.21248137606
Hainan,2038,8482.92771240346
Hainan,2043,9228.91254984268
Hainan,2048,10040.4989574657
Hebei,2023,106717.531926936
Hebei,2028,118984.462122319
Hebei,2033,132143.036547342
Hebei,2038,146756.826870394
Hebei,2043,159662.556041696
Hebei,2048,173703.209216158
Heilongjiang,2023,22659.3350999618
Heilongjiang,2028,24159.059184442
Heilongjiang,2033,26830.8263433354
Heilongjiang,2038,29798.0660906622
Heilongjiang,2043,32418.4945844879
Heilongjiang,2048,35269.3623783126
Henan,2023,78009.5446455539
Henan,2028,85287.7451980033
Henan,2033,94719.7762608206
Henan,2038,105194.902199266
Henan,2043,114445.694458384
Henan,2048,124509.99721689
Hubei,2023,46495.6571915768
Hubei,2028,55222.2553184873
Hubei,2033,61329.3229436611
Hubei,2038,68111.7754252365
Hubei,2043,74101.4942394141
Hubei,2048,80617.9462248962
Hunan,2023,39571.2927431793
Hunan,2028,46545.9443500236
Hunan,2033,51693.49271044
Hunan,2038,57410.3120243806
Hunan,2043,62458.9489731809
Hunan,2048,67951.5607784489
Jiangsu,2023,109591.637011142
Jiangsu,2028,117480.879514286
Jiangsu,2033,130473.171692879
Jiangsu,2038,144902.290500211
Jiangsu,2043,157644.932579469
Jiangsu,2048,171508.156856561
Jiangxi,2023,22460.2701705406
Jiangxi,2028,26419.01269765
Jiangxi,2033,29340.709687466
Jiangxi,2038,32585.5191795542
Jiangxi,2043,35451.075040945
Jiangxi,2048,38568.626592492
Jilin,2023,18538.802408205
Jilin,2028,21564.6818803812
Jilin,2033,23949.5350487153
Jilin,2038,26598.1307877055
Jilin,2043,28937.1584140805
Jilin,2048,31481.8790750756
Liaoning,2023,49131.465689723
Liaoning,2028,55805.0104567269
Liaoning,2033,61976.5253779704
Liaoning,2038,68830.5524269137
Liaoning,2043,74883.4801664682
Liaoning,2048,81468.6996417192
Ningxia,2023,14847.0018280834
Ningxia,2028,17890.6256951545
Ningxia,2033,19869.1624344971
Ningxia,2038,22066.5069280026
Ningxia,2043,24007.0255958051
Ningxia,2048,26118.1926001284
Qinghai,2023,11017.7904889006
Qinghai,2028,12284.2596846765
Qinghai,2033,13642.7845074466
Qinghai,2038,15151.5495352805
Qinghai,2043,16483.9699684409
Qinghai,2048,17933.5628536048
Shaanxi,2023,28534.1495906177
Shaanxi,2028,34883.3817918456
Shaanxi,2033,38741.1592471288
Shaanxi,2038,43025.5709944454
Shaanxi,2043,46809.2203042339
Shaanxi,2048,50925.6020279934
Shandong,2023,93183.9995637006
Shandong,2028,104404.571551727
Shandong,2033,115950.745737595
Shandong,2038,128773.819357548
Shandong,2043,140098.130958059
Shandong,2048,152418.297413736
Shanghai,2023,39830.6246554197
Shanghai,2028,42278.5106469931
Shanghai,2033,46954.1205460038
Shanghai,2038,52146.8093958381
Shanghai,2043,56732.5762971932
Shanghai,2048,61721.6134717866
Shanxi,2023,47017.1129921056
Shanxi,2028,51403.7554127035
Shanxi,2033,57088.5324773624
Shanxi,2038,63401.9929916139
Shanxi,2043,68977.5356625736
Shanxi,2048,75043.3890415862
Sichuan,2023,48684.7819644476
Sichuan,2028,56439.0055443323
Sichuan,2033,62680.6344232855
Sichuan,2038,69612.529381289
Sichuan,2043,75734.2238215591
Sichuan,2048,82394.2573101745
Tianjin,2023,20235.4622582961
Tianjin,2028,22451.3179498443
Tianjin,2033,24934.2248177946
Tianjin,2038,27691.7180832423
Tianjin,2043,30126.9152832061
Tianjin,2048,32776.2626267213
Tibet,2023,1188.43976737324
Tibet,2028,1495.2388895844
Tibet,2033,1660.59839838781
Tibet,2038,1844.24513028459
Tibet,2043,2006.42721533311
Tibet,2048,2182.8715198007
West_Inner_Mongolia,2023,34287.2712162149
West_Inner_Mongolia,2028,40135.7524356339
West_Inner_Mongolia,2033,44574.3932136681
West_Inner_Mongolia,2038,49503.9063626145
West_Inner_Mongolia,2043,53857.2575631116
West_Inner_Mongolia,2048,58593.4405049271
Xinjiang,2023,26779.7213787338
Xinjiang,2028,35166.2164764702
Xinjiang,2033,39055.2728162501
Xinjiang,2038,43374.4226016556
Xinjiang,2043,47188.7497644587
Xinjiang,2048,51338.507137792
Yunnan,2023,30526.621322705
Yunnan,2028,35046.4725651957
Yunnan,2033,38922.2863425405
Yunnan,2038,43226.7290613206
Yunnan,2043,47028.0681207927
Yunnan,2048,51163.6952228455
Zhejiang,2023,87598.2782243776
Zhejiang,2028,94368.223898935
Zhejiang,2033,104804.47141716
Zhejiang,2038,116394.870807293
Zhejiang,2043,126630.583254893
Zhejiang,2048,137766.419639083
